Attributes:,,,,,,,,,,,,,
a,2,,,,,,,,,,,,
b,2,,,,,,,,,,,,
c,2,,,,,,,,,,,,
d,2,,,,,,,,,,,,
e,2,,,,,,,,,,,,
,,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,,
Longest Hansel Chain First,,,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,,,
Dynamic top,,,,,,,,,,,,,
,,,,,,,,,,,,,
Monotone Boolean Function Simplified: x4x5 v x2x3x5 v x1x3x5,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified:x4x5 v x2x3x5 v x2x4x5 v x1x4x5 v x1x3x5,,,,,,,,,,,,,
Order of Questions:,1.6,2.4,3.4,4.4,5.4,9.2,10.2,1.5,1.4,1.3,1.2,3.3,3.2
Answers:,1,0,1,1,1,1,0,1,1,1,0,1,0
Total Questions: 13,,,,,,,,,,,,,
,,,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Class,Majority Flag,Expanded 1-1,Expanded 0-0,Unexpandable 1-1,Unexpandable 0-0,Prior 1-1,Prior 0-0,
1.1,0;0;0;0;0,1,22,,0,0,,,5.1;4.1;3.1;2.1;1.2;,,,,
1.2,0;0;0;0;1,2,21,11,0,0,,,5.2;4.2;3.2;1.3;,1.1;,,,
1.3,0;0;0;1;1,3,20,10,1,0,5.3;4.3;,,1.4;,1.2;2.1;,,,
1.4,0;0;1;1;1,4,19,9,1,1,,,5.4;1.5;,1.3;3.2;2.2;,,,
1.5,0;1;1;1;1,5,18,8,1,0,,,1.6;,1.4;4.3;3.3;2.3;,,,
1.6,1;1;1;1;1,6,1,1,1,0,,,,1.5;5.4;4.4;3.4;2.4;,,,
2.1,0;0;0;1;0,7,5,,0,0,,1.1;,8.1;6.1;2.2;1.3;,,,,
2.2,0;0;1;1;0,8,4,,0,0,,2.1;3.1;,8.2;2.3;1.4;,,,,
2.3,0;1;1;1;0,9,3,,0,1,,2.2;6.1;7.1;,2.4;1.5;,,,,
2.4,1;1;1;1;0,10,2,2,0,0,,2.3;8.2;6.2;7.2;,1.6;,,,,
3.1,0;0;1;0;0,11,25,,0,0,,,9.1;7.1;3.2;,,2.2;,1.1;,
3.2,0;0;1;0;1,12,24,13,0,0,,,9.2;3.3;,3.1;,1.4;,1.2;,
3.3,0;1;1;0;1,13,23,12,1,1,,,3.4;,3.2;4.2;7.1;,1.5;,,
3.4,1;1;1;0;1,14,6,3,1,0,,,1.6;,3.3;9.2;10.2;7.2;,,,
4.1,0;1;0;0;0,15,28,,0,0,,,10.1;7.1;6.1;4.2;,,,1.1;,
4.2,0;1;0;0;1,16,27,,0,0,,,10.2;4.3;,4.1;,3.3;,1.2;,
4.3,0;1;0;1;1,17,26,,1,1,,,4.4;,4.2;6.1;,1.5;,1.3;,
4.4,1;1;0;1;1,18,7,4,1,0,,,1.6;,4.3;5.3;10.2;6.2;,,,
5.1,1;0;0;0;0,19,31,,0,0,,,10.1;9.1;8.1;5.2;,,,1.1;,
5.2,1;0;0;0;1,20,30,,0,0,,,10.2;9.2;5.3;,5.1;,,1.2;,
5.3,1;0;0;1;1,21,29,,1,1,,,5.4;,5.2;8.1;,4.4;,1.3;,
5.4,1;0;1;1;1,22,8,5,1,0,,,1.6;,1.4;5.3;9.2;8.2;,,,
6.1,0;1;0;1;0,23,10,,0,0,,4.1;,6.2;2.3;4.3;,2.1;,,,
6.2,1;1;0;1;0,24,9,,0,1,,8.1;10.1;,2.4;4.4;,6.1;,,,
7.1,0;1;1;0;0,25,12,,0,0,,,7.2;2.3;3.3;,3.1;4.1;,,,
7.2,1;1;1;0;0,26,11,,0,1,,9.1;,2.4;3.4;,7.1;10.1;,,,
8.1,1;0;0;1;0,27,14,,0,0,,5.1;,6.2;8.2;5.3;,2.1;,,,
8.2,1;0;1;1;0,28,13,,0,1,,,2.4;5.4;,2.2;8.1;9.1;,,,
9.1,1;0;1;0;0,29,32,,0,0,,,9.2;,,7.2;8.2;,3.1;5.1;,
9.2,1;0;1;0;1,30,15,6,1,1,,,3.4;5.4;,3.2;5.2;9.1;,,,
10.1,1;1;0;0;0,31,17,,0,0,,,7.2;6.2;10.2;,4.1;5.1;,,,
10.2,1;1;0;0;1,32,16,7,0,1,,4.2;5.2;,3.4;4.4;,10.1;,,,
