This file is for the function named testSmallGroupAverage,,,,,,,,,,,,,
Attributes, k-value, sub-attributes,,,,,,,,,,,
x1,2,,,,,,,,,,,,
x2,2,,,,,,,,,,,,
x3,2,,,,,,,,,,,,
x4,2,,,,,,,,,,,,
x5,2,,,,,,,,,,,,
,,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,,
Any Vector Order,,,,,,,,,,,,,
True Attributes:,,,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,,,
Static,,,,,,,,,,,,,
,,,,,,,,,,,,,
Original Results,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = !x1!x3!x5 v !x4!x5 v !x2!x3!x5,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = x1x3x4x5 v x1x3x5 v x3x4x5 v x1x2x4x5 v x4x5 v x2x4x5 v x1x2x3x5 v x2x3x4x5 v x2x3x5 v x1x2x3x4x5,,,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = x1x3x5 v x4x5 v x2x3x5,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = x1x3x4x5 v x1x3x5 v x3x4x5 v x1x2x4x5 v x4x5 v x2x4x5 v x1x2x3x5 v x2x3x4x5 v x2x3x5 v x1x2x3x4x5,,,,,,,,,,,,,
Order of Questions:,1.2,1.4,2.1,2.2,3.2,4.3,4.4,5.1,7.3,8.3,9.2,10.5,
Answers:,0,1,0,1,1,0,1,1,0,0,1,0,
Total Questions: 12,,,,,,,,,,,,,
,,,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Oracle,Confirmed,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable
1.1,0;0;1;0;0,4,0,,0,0,0,1,1.2,,10.1;,1.2;8.2;3.1;2.1;,10.1;
1.2,1;0;1;0;0,3,1,1,0,0,0,1,,1.3;,1.1;10.2;,10.4;1.3;2.2;,1.1;10.2;
1.3,1;0;1;1;0,2,2,,0,0,0,1,1.2,,3.1;4.2;,10.5;1.4;,3.1;4.2;1.2;
1.4,1;0;1;1;1,1,3,2,0,1,1,1,,10.6;,,10.6;,3.2;5.2;2.2;1.3;
2.1,0;0;1;0;1,6,4,3,0,0,0,1,,,7.1;,2.2;9.2;3.2;,7.1;1.1;
2.2,1;0;1;0;1,5,5,4,0,1,1,1,,7.4;,,7.4;1.4;,2.1;7.2;1.2;
3.1,0;0;1;1;0,8,6,,0,0,0,1,1.3,,4.1;,1.3;8.3;3.2;,4.1;1.1;
3.2,0;0;1;1;1,7,7,5,0,1,1,1,,8.4;,,1.4;8.4;,5.1;2.1;3.1;
4.1,0;0;0;1;0,12,0,,0,0,0,1,3.1,,,4.2;6.1;3.1;5.1;,10.1;
4.2,1;0;0;1;0,11,0,,0,0,0,1,1.3,,,4.3;1.3;5.2;,4.1;10.2;
4.3,1;1;0;1;0,10,8,6,0,0,0,1,,,6.1;10.3;,10.5;4.4;,6.1;4.2;10.3;
4.4,1;1;0;1;1,9,9,7,0,1,1,1,,,,10.6;,6.2;5.2;7.3;4.3;
5.1,0;0;0;1;1,14,10,8,0,1,1,1,,5.2;6.2;,,5.2;6.2;3.2;,7.1;4.1;
5.2,1;0;0;1;1,13,0,,0,1,1,1,5.1,,,4.4;1.4;,5.1;7.2;4.2;
6.1,0;1;0;1;0,16,11,,0,0,0,1,4.3,,8.1;,4.3;8.3;6.2;,4.1;8.1;
6.2,0;1;0;1;1,15,12,,0,1,1,1,5.1,,,4.4;8.4;,5.1;9.1;6.1;
7.1,0;0;0;0;1,20,0,,0,0,0,1,2.1,,,7.2;9.1;2.1;5.1;,10.1;
7.2,1;0;0;0;1,19,0,,0,0,0,1,7.3,,,7.3;2.2;5.2;,7.1;10.2;
7.3,1;1;0;0;1,18,13,9,0,0,0,1,,,9.1;7.2;,7.4;4.4;,9.1;7.2;10.3;
7.4,1;1;1;0;1,17,14,,0,1,1,1,2.2,,,10.6;,9.2;2.2;7.3;10.4;
8.1,0;1;0;0;0,24,0,,0,0,0,1,6.1,,,10.3;8.2;6.1;9.1;,10.1;
8.2,0;1;1;0;0,23,0,,0,0,0,1,8.3,,,10.4;8.3;9.2;,1.1;8.1;
8.3,0;1;1;1;0,22,15,10,0,0,0,1,,,8.2;,10.5;8.4;,3.1;6.1;8.2;
8.4,0;1;1;1;1,21,16,,0,1,1,1,3.2,,,10.6;,3.2;6.2;9.2;8.3;
9.1,0;1;0;0;1,26,17,,0,0,0,1,7.3,,,7.3;9.2;6.2;,7.1;8.1;
9.2,0;1;1;0;1,25,18,11,0,1,1,1,,,,7.4;8.4;,2.1;9.1;8.2;
10.1,0;0;0;0;0,32,0,,0,0,0,1,1.1,,,10.2;8.1;1.1;4.1;7.1;,
10.2,1;0;0;0;0,31,0,,0,0,0,1,1.2,,,10.3;1.2;4.2;7.2;,10.1;
10.3,1;1;0;0;0,30,0,,0,0,0,1,4.3,,,10.4;4.3;7.3;,8.1;10.2;
10.4,1;1;1;0;0,29,0,,0,0,0,1,10.5,,,10.5;7.4;,8.2;1.2;10.3;
10.5,1;1;1;1;0,28,19,12,0,0,0,1,,,10.4;,10.6;,8.3;1.3;4.3;10.4;
10.6,1;1;1;1;1,27,20,,0,1,1,1,1.4,,,,8.4;1.4;4.4;7.4;10.5;
